counterparty_country,txn_timestamp_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
FIN,4,454.3508529411764,340,328.8,73.6942385494031,11.2,13760.02,1.25,7.738645323540178,1110.2931482645008,1111.9295428861171,1111.9295428861171,154479.28999999998,1232750.875083097,1236387.3083429292,1236387.3083429292
RUS,3,358.38639097744334,266,151.3,11.367481489302714,436.2,3200.0,0.38,2.556859223199655,392.81960169293103,393.5600728528072,393.5600728528072,95330.77999999993,154307.239474193,154889.53094390692,154889.53094390692
AUT,2,420.0746215139441,251,375.69,53.65687049033196,29.25,7786.0,1.95,6.206614639110676,695.7201805193157,697.1102322159362,697.1102322159362,105438.72999999998,484026.5695818292,485962.6758601565,485962.6758601565
ITA,2,344.6062573099415,171,17.4,37.607627366983245,238.0,4400.28,1.25,5.0194565016598425,451.35204929581965,452.6776088291993,452.6776088291993,58927.67,203718.67240353604,204917.01753532156,204917.01753532156
USA,3,361.6886896551722,290,39.6,12.414722845898575,436.2,2944.7,1.06,2.8412584641119754,393.46949618920473,394.1496514007278,394.1496514007278,104889.71999999994,154818.24443138659,155353.94769931526,155353.94769931526
RUS,1,312.3264,150,734.4,11.362558528873308,13.3,2133.4,1.25,2.90499878258817,322.85128680612905,323.9328686859995,323.9328686859995,46848.96,104232.95339237338,104932.503415141,104932.503415141
RUS,4,356.4909811320755,265,3193.92,45.85613469443755,44.78,6068.06,2.6,5.932175574606313,580.2615949105143,581.3595364692408,581.3595364692408,94470.11,336703.51852809376,337978.9106437305,337978.9106437305
AUS,6,404.0062450592885,253,336.24,61.04035293230564,8.3,7544.91,0.79,6.742772785765424,662.9458609642987,664.2599273894581,664.2599273894581,102213.58,439497.21456969535,441241.2511354481,441241.2511354481
RUS,2,345.0539545454547,220,382.69,30.036149664498126,14.9,4091.46,0.95,4.648771671070401,468.5320064154904,469.60049584512655,469.60049584512655,75911.87000000004,219522.24103572514,220524.62569798873,220524.62569798873
GBR,6,691.9358762886595,194,149.8,78.00743840002413,62.5,22206.0,1.65,7.905781698592807,1936.7487588004167,1941.7597600834354,1941.7597600834354,134235.55999999994,3750995.754714954,3770430.96587928,3770430.96587928
NLD,1,339.68858064516127,155,155.64,11.571608753706823,41.66,2375.42,1.45,2.4735086386804213,305.971620030015,306.96342690996596,306.96342690996596,52651.729999999996,93618.63226379188,94226.54546031001,94226.54546031001
ZAF,4,377.9980075187971,266,354.23,11.359024058768721,16.65,3108.64,0.85,2.9384556698126207,452.26751049133514,453.1200418991991,453.1200418991991,100547.47000000003,204545.90104602993,205317.77237073195,205317.77237073195
MEX,2,469.7601056338029,284,50.4,181.99840896099087,37.6,22998.4,0.39,12.448444993857915,1489.0460829623614,1491.6745864785405,1491.6745864785405,133411.87000000002,2217258.237185552,2225093.071945925,2225093.071945925
DNK,4,391.82382113821143,246,855.86,19.75693860446008,41.0,4257.06,1.65,3.9232520431262246,523.8001157574448,524.8680070102293,524.8680070102293,96388.66000000002,274366.5612675126,275486.4247828902,275486.4247828902
BRA,4,465.60798816568047,338,449.98,30.09556387658443,9.75,7952.68,0.48,4.894734000332977,863.6886995067813,864.9691875331147,864.9691875331147,157375.5,745958.1696557152,748171.6953816966,748171.6953816966
SWE,4,407.9335971223025,278,508.2,40.048042456711414,2.9,6068.06,0.85,5.152705547475752,568.108628904703,569.1331718991321,569.1331718991321,113405.5400000001,322747.41423598153,323912.567355967,323912.567355967
CAN,2,324.5444758064516,248,210.19,12.831982244044646,238.0,2949.28,1.95,3.2268752439232578,444.0534507710313,444.95143642178886,444.95143642178886,80487.03,197183.46714166072,197981.7807738132,197981.7807738132
CHN,3,360.4514552238806,268,1033.52,179.80830501348905,61.2,12341.21,1.65,12.390530653938047,805.5359423119895,807.0430267770179,807.0430267770179,96600.99,648888.1543564649,651318.4470694105,651318.4470694105
TUR,5,301.03852307692307,325,303.97,6.857387295739457,3.8,2022.6,0.65,2.2149109201738497,312.63490715033026,313.11699673067756,313.11699673067756,97837.51999999999,97740.58516889562,98042.25364163912,98042.25364163912
ESP,1,326.7533036649213,191,1526.92,27.014061882797993,9.9,3449.3,1.25,4.49145663502013,383.98493040536147,384.99409096406146,384.99409096406146,62409.88099999997,147444.42677841027,148220.45007724402,148220.45007724402
TUR,2,487.71363265306104,245,922.4,40.61181405528803,37.6,8895.66,1.65,5.470573445229142,868.2788694899365,870.0563101822659,870.0563101822659,119489.83999999995,753908.1952027222,756997.9828879792,756997.9828879792
SWE,2,415.2219999999998,230,922.4,50.7747476338695,48.85,7480.06,0.95,6.216674471383589,700.612572422783,702.1406278310665,702.1406278310665,95501.05999999995,490857.9766368694,493001.46125100425,493001.46125100425
AUS,5,378.173662420382,314,22.2,141.89398967647838,98.75,10363.82,1.7,10.287448911085013,685.1495344861955,686.2431497623922,686.2431497623922,118746.52999999996,469429.8846066505,470929.6605958091,470929.6605958091
MEX,7,7438.466153846153,13,8000.01,1.4526057289636674,9500.0,9500.0,100.0,-1.8035823658445975,3174.0643274915583,3303.6708953287566,3303.6708953287566,96700.06,1.0074684355054438E7,1.0914241384642309E7,1.0914241384642309E7
IND,1,334.9240229885056,174,535.75,108.10769807531548,5.98,7138.12,1.25,9.519013349631788,577.2883815835911,578.9544409830631,578.9544409830631,58276.77999999998,333261.87551140186,335188.2447340111,335188.2447340111
GBR,5,643.837056737589,282,286.92,41.813980742609985,6.9,16488.0,1.7,6.045288863379902,1729.1010741958696,1732.1750340877593,1732.1750340877593,181562.0500000001,2989790.52478531,3000430.34871693,3000430.34871693
