counterparty_country,acct_last_updated_ts_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
FRA,1,368.0897524752476,202,1095.12,135.63887156385132,1.65,10901.54,1.65,10.859715659172549,814.8369266935588,816.861369383132,816.861369383132,74354.13000000002,663959.217103404,667262.4967904856,667262.4967904856
JPN,2,394.5076444444444,225,303.97,94.77262817785916,40.4,8132.31,1.65,8.322154956679231,636.7421614487699,638.1618781754988,638.1618781754988,88764.21999999999,405440.58016645134,407250.58275648014,407250.58275648014
NLD,7,360.55922279792736,193,444.98,33.01422534793666,14.11,4666.44,0.84,5.084566212657261,547.3296986135232,548.7531852792113,548.7531852792113,69587.92999999998,299569.7989843701,301130.05835408036,301130.05835408036
USA,7,1144.4321634615383,208,22.5,202.59451369840065,168469.6,168469.6,0.79,14.296477894692412,11635.701668275005,11663.773365691075,11663.773365691075,238041.88999999996,1.3538955331309775E8,1.360436091262045E8,1.360436091262045E8
ZAF,7,437.9709661835749,207,2474.74,25.216408195318806,664.86,5375.28,0.85,4.20845721371642,599.8621015913881,601.3163148807628,601.3163148807628,90659.99,359834.5409256368,361581.3105417806,361581.3105417806
GBR,1,388.76397905759177,191,311.24,47.496611856380966,25.26,6870.0,0.95,5.870489815205685,667.7026440254805,669.4574503210788,669.4574503210788,74253.92000000003,445826.8208386175,448173.2777903997,448173.2777903997
DNK,2,389.7572588832485,197,313.49,29.80658175243446,13.0,5518.68,1.25,5.113744178903582,688.671334503699,690.4259139958015,690.4259139958015,76782.17999999995,474268.2069671056,476687.9427169378,476687.9427169378
AUT,7,321.10540909090895,220,223.7,39.92049121232966,16.3,4091.46,1.25,5.062092244689716,391.9810262816717,392.8749408434625,392.8749408434625,70643.18999999997,153649.1249648326,154350.71914275418,154350.71914275418
CHN,1,395.0148691099475,191,101.55,110.38557264079095,224.69,12341.21,1.9,9.841931153377658,990.703238933516,993.3069313051219,993.3069313051219,75447.83999999997,981492.9076333593,986658.6597787981,986658.6597787981
NLD,3,342.20783999999963,250,322.8,27.97653126693261,27.15,4446.88,1.65,4.578176967361745,501.54447930540954,502.55058759702075,502.55058759702075,85551.9599999999,251546.8647217344,252557.09309411084,252557.09309411084
GRC,2,403.3466169354839,248,79.6,12.248723021111394,5.59,3876.86,1.45,3.1230250753649615,540.1954919661725,541.2879005479487,541.2879005479487,100029.96100000001,291811.16954057524,292992.5912796059,292992.5912796059
IND,3,335.92616935483886,248,610.64,16.496743892434473,3.75,3527.64,0.55,3.5157610940885835,459.13373144460365,460.062213144048,460.062213144048,83309.69000000003,210803.78335024542,211657.23996299945,211657.23996299945
AUT,4,465.01439999999985,250,318.14,118.712815015104,3.3,16726.84,0.4,9.958349670336435,1245.2220575180313,1247.7199979573343,1247.7199979573343,116253.59999999996,1550577.9725294395,1556805.19330265,1556805.19330265
CAN,6,343.2368341708543,199,497.0,7.20144002839891,14.11,2317.0,1.0,2.5412737742464975,417.2934777749289,418.34592201332543,418.34592201332543,68304.13,174133.84659349505,175013.31046517938,175013.31046517938
GBR,7,623.8660975609756,164,243.28,43.3520907605897,78.0,13760.02,1.25,5.960219435656937,1452.7383595571068,1457.1877983359022,1457.1877983359022,102314.04,2110448.741328674,2123396.279619034,2123396.279619034
CHE,7,294.77680555555554,216,301.24,77.4680371217513,15.0,5401.98,1.25,7.607304123441715,450.5672798421258,451.61389514277244,451.61389514277244,63671.79,203010.87366433252,203955.11028602708,203955.11028602708
DEU,3,398.0454854368933,206,22.2,49.20314360132846,36.0,6936.52,2.1,6.381089610719737,689.0744620919344,690.7530868986452,690.7530868986452,81997.37000000001,474823.6143072887,477139.8270600072,477139.8270600072
TUR,1,371.33858333333296,240,312.8,36.01570382460543,269.96,5350.4,0.83,4.9317011050617685,534.0962638003501,535.2124536569092,535.2124536569092,89121.25999999991,285258.8190054932,286452.37054944923,286452.37054944923
FIN,4,497.12583333333333,252,304.34,109.8936857479162,11.2,16774.72,1.65,9.58562188082947,1273.4129940039545,1275.947151722416,1275.947151722416,125275.71,1621580.6532981154,1628041.1339885462,1628041.1339885462
RUS,3,314.3630392156863,204,376.36,40.191500647150164,10.95,4415.44,0.95,5.245844911598299,435.5993456221548,436.670932347483,436.670932347483,64130.06,189746.78990644944,190681.5031572201,190681.5031572201
AUT,2,445.9165079365078,189,430.6,99.50260813601979,664.86,14022.92,1.7,9.209003647882652,1158.1578873546446,1161.234009339311,1161.234009339311,84278.21999999997,1341329.6920417733,1348464.4244462508,1348464.4244462508
ITA,2,357.73111111111115,162,139.12,33.13279586091434,172.89,4563.84,1.25,5.452119264864289,590.736645656072,592.5683915891557,592.5683915891557,57952.44,348969.78452098754,351137.2987105589,351137.2987105589
BRA,7,354.97631147540966,244,330.0,44.41709803430279,23.14,6260.9,1.0,5.927002979821507,616.7394222722877,618.0071305416551,618.0071305416551,86614.21999999996,380367.51498475525,381932.8134003304,381932.8134003304
USA,3,1064.002,260,226.14,253.52208446289893,168469.6,168469.6,2.55,15.96257190962386,10417.069667881204,10437.16046700471,10437.16046700471,276640.51999999996,1.0851534046549061E8,1.0893431861400601E8,1.0893431861400601E8
RUS,1,424.2380542986426,221,51.4,172.22967138536129,20.8,18841.48,1.25,12.600489775660753,1313.4101650312925,1316.391803749351,1316.391803749351,93756.61000000002,1725046.261607527,1732887.3809784702,1732887.3809784702
RUS,4,365.4617431192661,218,204.15,45.5447039831157,12.75,6068.06,0.39,5.876866342723397,593.5275101533948,594.8935131343237,594.8935131343237,79670.66,352274.9053088882,353898.2919692978,353898.2919692978
AUS,6,316.44642045454526,176,430.6,21.402636541966025,5.9,2924.0,1.25,3.479529259481231,329.5165929178827,330.45672776105226,330.45672776105226,55694.56999999997,108581.1850082096,109201.64892254223,109201.64892254223
RUS,2,505.58483412322295,211,272.65,199.15737573331842,436.2,38970.0,0.38,14.070176997400672,2676.5108432756047,2682.875919668036,2682.875919668036,106678.40000000004,7163710.294171888,7197823.200334611,7197823.200334611
NLD,1,466.15522842639564,197,279.0,100.58495916156505,3.18,14415.74,0.95,9.250697206224803,1177.351210355024,1180.350836134685,1180.350836134685,91832.57999999994,1386155.87252444,1393228.0963638504,1393228.0963638504
GBR,6,482.4627329192547,161,98.7,23.02308790517318,6.67,6207.08,2.1,4.385302424638765,790.1593384008671,792.6247401434579,792.6247401434579,77676.5,624351.780062096,628253.978687484,628253.978687484
ZAF,4,326.7040157480314,254,277.35,25.965080822348746,41.6,3733.0,0.85,4.195904974401685,396.7153777862193,397.4986270734931,397.4986270734931,82982.81999999998,157383.09097206267,158005.15852531194,158005.15852531194
MEX,2,359.79855421686756,249,362.45,10.40304431012425,8.3,2949.12,1.25,2.989582256948039,463.826440643132,464.76063381646475,464.76063381646475,89589.84000000003,215134.96703967685,216002.446745482,216002.446745482
PRT,7,574.3300432900428,231,189.8,130.1159216453291,11.15,22104.8,5.6,10.473351421473287,1630.620949183076,1634.1619326129528,1634.1619326129528,132670.23999999987,2658924.6799147157,2670485.222001301,2670485.222001301
DNK,4,488.9040182648397,219,309.54,94.37922110104827,8.85,13464.26,1.65,8.728365714458912,1083.552202496701,1086.0345704752065,1086.0345704752065,107069.9799999999,1174085.375535452,1179471.088267266,1179471.088267266
SWE,4,469.9382403433475,233,95.29,38.146704991010054,1.65,7480.06,1.25,5.521158187515103,794.6195359374636,796.3302365955261,796.3302365955261,109495.60999999997,631420.20689347,634141.8457162867,634141.8457162867
CAN,2,693.5709633027527,218,295.5,209.65435465036398,83.16,77183.6,1.25,14.49391547603979,5212.822487800252,5224.81979362951,5224.81979362951,151198.4700000001,2.7173518289316006E7,2.7298741875902716E7,2.7298741875902716E7
BRA,4,376.60884462151415,251,313.93,18.004009549853365,91.25,3953.35,1.25,3.9030203338199407,557.5973195673604,558.7114012366849,558.7114012366849,94528.82000000005,310914.77078870503,312158.42987185984,312158.42987185984
CHN,3,315.34133333333335,210,22.2,27.389206217045597,96.75,3449.3,1.65,4.560154973520822,401.03914068702085,401.99741956982433,401.99741956982433,66221.68000000001,160832.3923629841,161601.9253407974,161601.9253407974
TUR,5,402.13409756097565,205,362.45,23.888183398986605,29.0,4287.63,1.67,4.241514997667458,523.6886124255382,524.9705938111781,524.9705938111781,82437.49,274249.76278418547,275594.1243664609,275594.1243664609
ESP,1,304.59599999999995,240,309.54,8.146939290161244,121.84,2275.0,1.44,2.4813954763308894,334.33824388858056,335.0369661635368,335.0369661635368,73103.04,111782.06132649997,112249.76869606691,112249.76869606691
TUR,2,359.0310526315787,190,106.2,156.30328135785845,7.25,12797.52,1.17,12.095624285732368,943.0736133548966,945.5652256584673,945.5652256584673,68215.89999999995,889387.840206261,894093.5959745481,894093.5959745481
SWE,2,387.9637872340425,235,3193.92,59.37313141826388,37.3,6930.0,0.85,6.493293768876124,606.5168585491916,607.8114531033696,607.8114531033696,91171.48999999999,367862.6997043801,369434.7625236296,369434.7625236296
CHN,7,356.5000537634407,186,279.0,20.776026655764237,3.75,3794.4,1.65,3.936569465829174,463.5428081755637,464.7939381384695,464.7939381384695,66309.00999999997,214871.93501128748,216033.40493026742,216033.40493026742
AUS,5,330.59442786069656,201,358.25,25.209204329818945,43.2,3875.88,1.79,4.369681899990118,452.4529960609977,453.58271815931886,453.58271815931886,66449.48000000001,204713.7136445732,205737.28221279607,205737.28221279607
MEX,7,880.5273869346736,199,572.38,9.319681662564703,9500.0,9500.0,1.65,3.2816740671514704,2118.093137861384,2123.4351214725725,2123.4351214725725,175224.95000000004,4486318.5406554835,4508976.715103239,4508976.715103239
FIN,7,437.4152719665273,239,328.8,30.18349611059722,1.87,7138.12,1.25,5.11950156348171,831.9770363079465,833.7230550937035,833.7230550937035,104542.25000000003,692185.7889437542,695094.1325947784,695094.1325947784
IND,1,326.4735772357722,246,438.1,41.510036551126014,3.8,4655.85,1.7,5.261738535076721,443.6558587695386,444.56035687210493,444.56035687210493,80312.49999999997,196830.5210205368,197633.9109022533,197633.9109022533
GBR,5,544.529692307692,195,142.5,50.165290666665584,51.0,15885.49,1.45,6.591535155799966,1596.2035710487003,1600.3122099459113,1600.3122099459113,106183.28999999994,2547865.840228623,2560999.169301966,2560999.169301966
